"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5826","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:30:38 UTC 2025","failed","Tue Oct 07 19:30:44 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5922","Login: negative cases","TestNG sampler","Tue Oct 07 19:27:53 UTC 2025","failed","Tue Oct 07 19:27:59 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","9895","Login: negative cases","TestNG sampler","Tue Oct 07 19:27:30 UTC 2025","passed","Tue Oct 07 19:27:40 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","748","Login: negative cases","TestNG sampler","Tue Oct 07 19:28:18 UTC 2025","passed","Tue Oct 07 19:28:19 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5893","Workout: positive case with only date field","TestNG sampler","Tue Oct 07 19:32:13 UTC 2025","failed","Tue Oct 07 19:32:19 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithValidDate"
"","828","Login: negative cases","TestNG sampler","Tue Oct 07 19:27:59 UTC 2025","passed","Tue Oct 07 19:28:00 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5827","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:29:42 UTC 2025","failed","Tue Oct 07 19:29:48 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5781","Login: positive with remember","TestNG sampler","Tue Oct 07 19:28:49 UTC 2025","failed","Tue Oct 07 19:28:54 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLoginWithRemember"
"","5827","Workout: verify Basic Workout option is enabled by default","TestNG sampler","Tue Oct 07 19:29:06 UTC 2025","failed","Tue Oct 07 19:29:12 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","chechEnabledBasicWorkout"
"","5825","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:30:00 UTC 2025","failed","Tue Oct 07 19:30:06 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5759","Login: positive without remember","TestNG sampler","Tue Oct 07 19:28:31 UTC 2025","failed","Tue Oct 07 19:28:37 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkPositiveLogin"
"","6791","Workout: positive case with subtype Fartlek","TestNG sampler","Tue Oct 07 19:31:53 UTC 2025","failed","Tue Oct 07 19:31:59 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkoutWithFartlek"
"","5786","Login: negative cases","TestNG sampler","Tue Oct 07 19:28:13 UTC 2025","failed","Tue Oct 07 19:28:18 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","6059","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:31:15 UTC 2025","failed","Tue Oct 07 19:31:21 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5809","Workout: switch to Advanced Workout and verify enabled","TestNG sampler","Tue Oct 07 19:32:30 UTC 2025","failed","Tue Oct 07 19:32:36 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkSwitchingToAdvancedWorkout"
"","771","Login: negative cases","TestNG sampler","Tue Oct 07 19:27:40 UTC 2025","passed","Tue Oct 07 19:27:41 UTC 2025","tests.LoginTest","TestNG one","tests.LoginTest","checkNegativeLogin"
"","5909","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:30:57 UTC 2025","failed","Tue Oct 07 19:31:03 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","6743","Workout: negative cases with invalid date or distance","TestNG sampler","Tue Oct 07 19:30:19 UTC 2025","failed","Tue Oct 07 19:30:26 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkNegativeWorkout"
"","5959","Workout: positive case with all fields filled","TestNG sampler","Tue Oct 07 19:31:34 UTC 2025","failed","Tue Oct 07 19:31:40 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkPositiveAddWorkout"
"","5858","Workout: select date from calendar and verify in input field","TestNG sampler","Tue Oct 07 19:29:24 UTC 2025","failed","Tue Oct 07 19:29:30 UTC 2025","tests.WorkoutAddTest","TestNG one","tests.WorkoutAddTest","checkAddWorkoutWithDateInCalendar"
